SN2005ki 0.02037 160.118 9.20233055555556
filter uCSP3014
53716.34784 16.165 0.007
53720.31749 16.433 0.01
53721.33413 16.486 0.009
53728.34288 17.008 0.009
53730.34324 17.18 0.013
53736.30598 17.615 0.024
53738.34669 17.71 0.011
53740.34625 17.788 0.012
53741.31236 17.833 0.012
53745.26056 17.968 0.012
53748.25575 18.036 0.015
53751.2899 18.172 0.024
53752.27743 18.118 0.025
53761.26295 18.434 0.014
53762.27098 18.445 0.012
53763.26672 18.467 0.019
53764.2759 18.475 0.014
53765.26026 18.52 0.015
53771.23788 18.677 0.015
53772.32997 18.713 0.016
53774.2309 18.78 0.016
53775.10197 18.776 0.019
53778.24012 18.808 0.034
53783.18194 18.982 0.031
53784.24208 18.983 0.02
53795.22209 19.275 0.019
53798.22722 19.356 0.024
53804.23336 19.553 0.034
53805.15546 19.514 0.045
53818.15462 19.813 0.026
53819.181 19.846 0.026
53823.13262 19.884 0.031
53831.11036 20.034 0.043
53838.13026 19.979 0.118
53840.09397 20.114 0.081
53846.12331 20.278 0.04
53858.03575 20.52 0.057
53860.99345 20.509 0.091
filter gCSP3014
53695.353 16.861 0.009
53702.32212 15.661 0.006
53703.34896 15.624 0.006
53706.33624 15.588 0.005
53707.3442 15.625 0.006
53712.32942 15.867 0.005
53713.34962 15.954 0.006
53716.34784 16.234 0.006
53720.31749 16.646 0.009
53721.33413 16.759 0.008
53728.34288 17.616 0.009
53730.34324 17.798 0.012
53736.30598 18.19 0.011
53738.34669 18.28 0.012
53740.34625 18.339 0.012
53741.31236 18.378 0.011
53745.26056 18.461 0.014
53748.25575 18.554 0.022
53751.2899 18.611 0.03
53752.27743 18.693 0.035
53754.24105 18.647 0.02
53761.26295 18.801 0.012
53762.27098 18.816 0.013
53763.26672 18.824 0.014
53764.2759 18.856 0.013
53765.26026 18.862 0.012
53771.23788 18.967 0.012
53772.32997 18.987 0.013
53774.2309 19.012 0.015
53775.10197 19.04 0.019
53778.24012 19.043 0.034
53783.18194 19.178 0.032
53784.24208 19.161 0.02
53790.20376 19.288 0.013
53795.22209 19.361 0.015
53798.22722 19.414 0.014
53804.23336 19.496 0.026
53805.15546 19.543 0.046
53818.15462 19.793 0.022
53819.181 19.824 0.018
53823.13262 19.86 0.019
53831.11036 20.011 0.032
53838.13026 19.963 0.094
53840.09397 20.038 0.059
53846.12331 20.245 0.027
53858.03575 20.434 0.034
53860.99345 20.432 0.072
filter rCSP3014
53695.353 16.953 0.009
53702.32212 15.787 0.006
53703.34896 15.749 0.006
53706.33624 15.683 0.006
53707.3442 15.683 0.006
53712.32942 15.955 0.005
53713.34962 16.055 0.005
53716.34784 16.309 0.006
53720.31749 16.441 0.009
53721.33413 16.433 0.008
53728.34288 16.654 0.008
53730.34324 16.804 0.009
53736.30598 17.267 0.009
53738.34669 17.377 0.009
53740.34625 17.466 0.009
53741.31236 17.521 0.009
53745.26056 17.694 0.01
53748.25575 17.758 0.012
53751.2899 17.902 0.014
53752.27743 17.926 0.018
53754.24105 18.028 0.015
53761.26295 18.252 0.01
53762.27098 18.308 0.012
53763.26672 18.326 0.012
53764.2759 18.362 0.013
53765.26026 18.407 0.011
53771.23788 18.629 0.011
53772.32997 18.655 0.012
53774.2309 18.717 0.014
53775.10197 18.724 0.017
53778.24012 18.859 0.031
53783.18194 18.986 0.023
53784.24208 19.031 0.02
53790.20376 19.276 0.016
53795.22209 19.45 0.02
53798.22722 19.54 0.019
53804.23336 19.802 0.042
53805.15546 19.804 0.046
53818.15462 20.173 0.029
53819.181 20.214 0.031
53823.13262 20.294 0.035
53831.11036 20.53 0.055
53838.13026 20.936 0.205
53840.09397 20.777 0.09
53846.12331 20.838 0.055
53858.03575 21.187 0.077
53860.99345 20.951 0.102
filter iCSP3014
53695.353 17.097 0.013
53702.32212 16.17 0.007
53703.34896 16.209 0.009
53706.33624 16.306 0.007
53707.3442 16.32 0.009
53712.32942 16.718 0.008
53713.34962 16.846 0.008
53716.34784 17.038 0.012
53720.31749 17.033 0.012
53721.33413 16.977 0.011
53728.34288 16.783 0.009
53730.34324 16.861 0.014
53736.30598 17.368 0.012
53738.34669 17.519 0.01
53740.34625 17.649 0.01
53741.31236 17.681 0.01
53745.26056 17.868 0.014
53748.25575 18.038 0.015
53751.2899 18.13 0.019
53752.27743 18.225 0.033
53754.24105 18.278 0.019
53761.26295 18.575 0.016
53762.27098 18.621 0.018
53763.26672 18.601 0.03
53764.2759 18.693 0.017
53765.26026 18.708 0.017
53771.23788 18.964 0.02
53772.32997 18.995 0.02
53774.2309 19.083 0.023
53775.10197 19.142 0.029
53778.24012 19.122 0.039
53783.18194 19.354 0.041
53784.24208 19.442 0.033
53790.20376 19.663 0.03
53795.22209 19.73 0.038
53798.22722 19.911 0.033
53804.23336 20.121 0.062
53805.15546 19.986 0.058
53818.15462 20.397 0.064
53819.181 20.425 0.043
53823.13262 20.485 0.066
53831.11036 20.659 0.081
53838.13026 20.952 0.211
53840.09397 20.845 0.134
53846.12331 20.932 0.108
53858.03575 21.145 0.123
53860.99345 21.22 0.195
filter YCSP3014
53696.34294 16.704 0.015
53701.33839 16.139 0.01
53704.37206 16.305 0.021
53708.3222 16.69 0.014
53709.31811 16.753 0.015
53714.33808 17.068 0.016
53715.32966 17.115 0.025
53719.35398 16.925 0.017
53724.34836 16.508 0.016
53732.35051 16.204 0.012
53750.33551 17.364 0.01
53756.30512 17.745 0.018
filter JCSP3014
53696.34294 16.657 0.021
53701.33839 16.095 0.016
53705.37586 16.277 0.031
53708.3222 16.605 0.05
53709.31811 16.698 0.021
53714.33808 17.726 0.038
53715.32966 17.828 0.044
53724.34836 17.536 0.055
53732.35051 17.361 0.043
53750.33551 18.916 0.051
53756.30512 19.461 0.088
filter HCSP3014
53697.3723 16.494 0.053
53701.33839 16.205 0.028
53708.3222 16.668 0.038
53709.31811 16.726 0.046
53714.33808 17.021 0.047
53715.32966 16.952 0.04
53717.36425 17.03 0.042
53719.35398 16.897 0.04
53750.33551 17.783 0.023
53756.30512 18.053 0.047
